Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Hispanic?,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Recidivism - Return to Prison,Days to Recidivism
2010,2013,0,1,1,0,3,0,0,0,1,16
2010,2013,0,1,1,5,3,1,1,0,1,19
2010,2013,0,1,1,1,3,3,3,0,1,22
2010,2013,0,1,1,5,1,4,5,0,1,25
2010,2013,1,1,1,1,3,4,5,0,1,26
2010,2013,0,1,1,0,3,3,3,2,1,27
2010,2013,0,1,1,4,4,1,4,0,1,28
2010,2013,0,1,1,4,3,3,3,0,1,41
2010,2013,0,1,1,4,4,0,7,0,1,44
2010,2013,0,1,1,4,1,0,10,0,1,46
2010,2013,0,1,1,3,4,3,9,0,1,48
2010,2013,0,1,1,0,4,3,9,2,1,49
2010,2013,0,1,1,4,3,1,1,0,1,49
2010,2013,0,1,0,1,1,4,5,2,1,51
2010,2013,1,1,1,4,3,0,6,2,1,51
2010,2013,0,1,1,0,3,4,5,0,1,53
2010,2013,0,1,1,1,1,4,5,0,1,53
2010,2013,0,1,0,1,3,3,9,0,1,54
2010,2013,0,1,1,0,4,0,6,2,1,54
2010,2013,0,1,1,1,5,4,5,0,1,55
2010,2013,0,1,1,3,3,3,8,2,1,55
2010,2013,3,1,1,1,3,0,0,2,1,57
2010,2013,1,1,1,4,3,1,4,0,1,57
2010,2013,0,1,1,0,3,3,19,0,1,58
2010,2013,0,1,1,3,1,4,5,0,1,58
2010,2013,0,1,1,1,3,4,11,0,1,60
2010,2013,0,1,1,3,3,4,23,0,1,62
2010,2013,0,1,0,3,1,4,5,0,1,62
2010,2013,1,1,0,4,4,3,9,2,1,63
2010,2013,0,1,1,1,1,4,5,0,1,64
2010,2013,0,1,1,3,3,0,6,2,1,65
2010,2013,0,1,0,1,3,3,8,0,1,66
2010,2013,0,1,1,1,3,3,8,0,1,66
2010,2013,0,0,1,1,3,3,9,0,1,68
2010,2013,0,1,1,3,3,3,8,0,1,70
2010,2013,0,1,1,0,3,0,6,2,1,71
2010,2013,0,1,1,3,3,4,23,0,1,71
2010,2013,1,1,1,0,3,0,6,2,1,75
2010,2013,0,1,1,0,3,4,5,0,1,76
2010,2013,0,1,1,1,3,0,6,2,1,78
2010,2013,0,1,1,1,1,0,7,0,1,79
2010,2013,0,1,1,1,1,3,3,0,1,80
2010,2013,0,1,0,1,3,0,0,0,1,80
2010,2013,0,1,1,4,3,0,0,0,1,80
2010,2013,0,1,1,4,3,0,6,2,1,83
2010,2013,0,1,1,0,3,4,5,0,1,83
2010,2013,1,1,1,3,3,1,1,0,1,84
2010,2013,0,1,1,0,3,3,9,0,1,85
2010,2013,0,1,1,0,4,0,6,2,1,86
2010,2013,0,1,1,4,4,1,15,2,1,88
2010,2013,0,1,1,1,3,0,6,2,1,89
2010,2013,0,1,1,4,4,4,5,0,1,90
2010,2013,1,1,1,1,4,0,0,2,1,90
2010,2013,0,1,1,1,1,0,0,0,1,92
2010,2013,0,1,1,3,4,1,4,2,1,94
2010,2013,3,1,1,0,4,3,9,2,1,94
2010,2013,0,1,1,1,1,4,5,0,1,95
